,0,1
0,78,71
1,203,137
2,440,128
3,173,99
4,207,77
5,43,38
6,242,83
7,56,34
8,22,19
9,42,27
10,105,61
11,163,75
12,47,34
13,579,348
14,1220,492
15,17,16
16,144,63
17,19,11
18,27,21
19,55,38
20,83,35
21,10,10
22,62,37
23,31,27
24,33,30
25,74,50
26,224,96
27,1413,523
28,77,64
29,63,48
30,164,92
31,64,43
32,77,40
33,21,16
34,202,82
35,13,13
36,151,107
37,34,27
38,16,13
39,32,25
40,33,33
41,62,33
42,96,61
43,115,58
44,154,147
45,31,25
46,116,97
47,65,46
48,175,124
49,51,30
50,144,100
51,49,33
52,11,11
53,22,21
54,24,20
55,605,283
56,15,14
57,12,12
58,97,53
59,440,244
60,68,59
61,25,24
62,1181,532
63,138,109
64,798,523
65,67,49
66,41,30
67,55,36
68,32,31
69,126,67
70,387,161
71,549,342
72,29,26
73,23,19
74,17,14
75,14,15
76,888,406
77,23,23
78,252,151
79,1969,815
80,29,24
81,643,228
82,706,289
83,10,11
84,870,278
85,147,83
86,14,15
87,14,14
88,589,99
89,458,187
90,361,239
91,414,210
92,102,48
93,756,401
94,1077,544
95,325,167
96,340,242
97,155,79
98,41,30
99,73,56
100,52,47
