,0,1,2,3
0,156,1306,1552,3102
1,406,2748,12246,59642
2,880,20720,261038,4116584
3,346,4714,22788,106552
4,414,6700,53112,488152
5,86,1300,908,832
6,484,8536,71330,708124
7,112,662,2616,9332
8,44,136,198,438
9,84,512,1856,5982
10,210,1736,7840,31982
11,326,5846,33870,291930
12,94,664,1454,3202
13,1158,18240,132348,1106000
14,2440,98970,1188530,22995266
15,34,72,112,126
16,288,4308,25156,169442
17,38,154,428,880
18,54,386,550,590
19,110,1088,3048,11252
20,166,1780,10732,71136
21,20,52,46,16
22,124,836,3936,16780
23,62,170,274,448
24,66,556,590,638
25,148,1720,5086,20920
26,448,13520,75250,1025176
27,2826,82970,1151468,19578786
28,154,3548,3656,7272
29,126,524,1384,3424
30,328,3812,21778,144454
31,128,996,3000,10156
32,154,1192,6298,30896
33,42,144,322,566
34,404,7628,50664,473098
35,26,84,76,16
36,302,2838,11368,50826
37,68,442,880,2236
38,32,72,132,206
39,64,230,458,816
40,66,138,190,166
41,124,1054,3772,17014
42,192,2374,8272,30840
43,230,3422,17756,126782
44,308,18692,6512,2396
45,62,224,532,862
46,232,2524,5538,13750
47,130,1064,2666,6594
48,350,11626,26596,241308
49,102,700,2644,9482
50,288,2572,7952,29350
51,98,618,1902,6994
52,22,36,36,42
53,44,232,272,270
54,48,230,368,452
55,1210,47148,341532,5171280
56,30,68,104,100
57,24,80,60,10
58,194,2800,12258,74000
59,880,52298,206472,1994148
60,136,402,920,2036
61,50,396,232,134
62,2362,190760,1294840,18824912
63,276,3916,10386,25504
64,1596,31868,195050,1732028
65,134,1872,4318,16676
66,82,488,1392,3658
67,110,826,2296,7274
68,64,506,472,282
69,252,3224,18076,121006
70,774,19466,167996,2153314
71,1098,10402,66000,479454
72,58,496,370,584
73,46,130,276,424
74,34,112,190,250
75,28,136,44,2
76,1776,48414,484548,6396040
77,46,308,238,158
78,504,8350,38914,329868
79,3938,363596,3520860,97924908
80,58,380,668,1154
81,1286,47110,467786,8736904
82,1412,49358,444606,8594380
83,20,90,0,0
84,1740,48054,627682,10920208
85,294,9524,29326,507440
86,28,136,44,2
87,28,52,50,62
88,1178,26720,497916,10318014
89,916,17332,172506,2076484
90,722,50062,129246,2271254
91,828,20926,112986,1118730
92,204,1858,11672,71194
93,1512,32056,221140,2346248
94,2154,198496,944728,11663794
95,650,8352,69078,567734
96,680,45566,92518,452266
97,310,2786,16766,106422
98,82,292,830,2076
99,146,1386,2842,7820
100,104,1558,1578,3774
